City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
298,Nizhnevartovsk,60.9344,76.5531,37.4,93,20,4.47,RU,few clouds
299,Faanui,-16.4833,-151.75,81.19,73,17,10.11,PF,light rain
300,Rio Grande,-32.035,-52.0986,69.8,49,20,13.8,BR,few clouds
301,Salalah,17.0151,54.0924,84.2,74,20,6.91,OM,few clouds
302,Guerrero Negro,27.9769,-114.0611,65.82,55,5,13.53,MX,clear sky
303,Aksu,41.1231,80.2644,63.59,20,2,2.19,CN,clear sky
304,Xiaoyi,34.6178,109.703,57.9,59,100,6.58,CN,overcast clouds
305,Nortelandia,-14.4547,-56.8028,84.99,51,16,4.03,BR,few clouds
306,Cidreira,-30.1811,-50.2056,67.64,47,0,12.12,BR,clear sky
307,Aksarka,66.5606,67.7975,32.4,98,100,6.2,RU,overcast clouds
308,Coruripe,-10.1256,-36.1756,82.24,68,0,8.93,BR,clear sky
309,San Ramon,37.7799,-121.978,70.0,45,1,6.91,US,clear sky
310,Hasaki,35.7333,140.8333,53.6,82,40,5.75,JP,scattered clouds
311,Port Hueneme,34.1478,-119.1951,66.0,51,20,10.36,US,few clouds
312,Vila Velha,-20.3297,-40.2925,82.99,78,20,8.05,BR,few clouds
313,Saskylakh,71.9167,114.0833,27.32,92,99,13.11,RU,overcast clouds
314,Shimoda,34.6667,138.95,61.0,60,87,1.99,JP,overcast clouds
315,Malakal,9.5334,31.6605,89.17,39,57,4.36,SS,broken clouds
316,Itoman,26.1247,127.6694,68.0,68,40,8.23,JP,scattered clouds
317,Nova Ushytsya,48.8372,27.2743,39.99,69,12,3.0,UA,few clouds
318,Nagato,34.3833,131.2,60.8,94,75,9.19,JP,moderate rain
319,Westport,41.1415,-73.3579,64.99,38,1,13.8,US,clear sky
320,Wattegama,6.7989,81.4808,80.6,100,40,2.66,LK,scattered clouds
321,Najran,17.4924,44.1277,75.2,57,40,4.41,SA,scattered clouds
322,Port Blair,11.6667,92.75,81.73,70,92,3.4,IN,overcast clouds
323,Klaksvik,62.2266,-6.589,42.8,87,90,4.61,FO,overcast clouds
324,Phangnga,8.4509,98.5298,77.0,100,20,2.08,TH,few clouds
325,Leningradskiy,69.3833,178.4167,24.78,89,100,15.52,RU,overcast clouds
326,Comodoro Rivadavia,-45.8667,-67.5,73.4,31,0,19.57,AR,clear sky
327,Poya,-21.35,165.15,66.96,70,11,7.18,NC,few clouds
328,Codrington,-38.2667,141.9667,47.21,91,7,5.06,AU,clear sky
329,Daru,-9.0763,143.2092,78.46,87,99,7.02,PG,overcast clouds
330,Constitucion,-35.3333,-72.4167,64.65,56,1,9.89,CL,clear sky
331,Lavrentiya,65.5833,-171.0,26.47,85,100,2.06,RU,overcast clouds
332,Kenai,60.5544,-151.2583,48.2,43,1,6.91,US,clear sky
333,Korla,41.7597,86.1469,60.69,31,69,2.13,CN,broken clouds
334,Deputatskiy,69.3,139.9,18.46,96,100,4.59,RU,light snow
335,Amuntai,-2.4177,115.2494,73.24,96,84,0.89,ID,broken clouds
336,Wanlaweyn,2.6185,44.8938,83.57,68,94,13.82,SO,overcast clouds
337,Kirakira,-10.4544,161.9205,78.31,84,100,5.68,SB,overcast clouds
338,Dakar,14.6937,-17.4441,71.6,83,0,16.11,SN,clear sky
339,Meadow Lake,34.8014,-106.5436,70.0,23,40,5.75,US,scattered clouds
340,Bengkulu,-3.8004,102.2655,75.51,90,26,4.27,ID,scattered clouds
341,Viedma,-40.8135,-62.9967,76.89,35,2,17.54,AR,clear sky
342,Black River,18.0264,-77.8487,86.0,66,20,21.85,JM,few clouds
343,Santa Cruz,-17.8,-63.1667,78.8,41,20,13.8,BO,few clouds
344,Kyren,51.6828,102.1408,31.8,77,71,1.03,RU,broken clouds
